"companyCardWrapper__companyLogo src","companyCardWrapper__companyName","g-btn__label","rating_text","companyCardWrapper__companyRatingCount","companyCardWrapper__interLinking","companyCardWrapper__ratingHeader src","companyCardWrapper__ratingHeader--critical","companyCardWrapper__ratingValues","salaryInsightsText","designationSelectionText","companyCardWrapper__ActionWrapper href","companyCardWrapper__ActionCount","companyCardWrapper__ActionTitle","companyCardWrapper__ActionWrapper href 2","companyCardWrapper__ActionCount 2","companyCardWrapper__ActionTitle 2","companyCardWrapper__ActionWrapper href 3","companyCardWrapper__ActionCount 3","companyCardWrapper__ActionTitle 3","companyCardWrapper__ActionWrapper href 4","companyCardWrapper__ActionCount 4","companyCardWrapper__ActionTitle 4","companyCardWrapper__ActionWrapper href 5","companyCardWrapper__ActionCount 5","companyCardWrapper__ActionTitle 5","companyCardWrapper__ActionWrapper href 6","companyCardWrapper__ActionCount 6","companyCardWrapper__ActionTitle 6","companyCardWrapper__ratingHeader--high","companyCardWrapper__ratingHeader src 2","companyCardWrapper__ratingValues 2","companyCardWrapper__companyVerified src"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vZ2VucGFjdC1vcmlnaW5hbC5qcGc.webp","Genpact","Follow","3.6","(46k)","Analytics & KPO | Hyderabad +194 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Job Security","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/genpact-reviews","46k","Reviews","https://www.ambitionbox.com/salaries/genpact-salaries","2.4L","Salaries","https://www.ambitionbox.com/interviews/genpact-interview-questions","4.1k","Interviews","https://www.ambitionbox.com/jobs/genpact-jobs-cmp","594","Jobs","https://www.ambitionbox.com/benefits/genpact-benefits","3.8k","Benefits","https://www.ambitionbox.com/photos/genpact-photos","78","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions, Salary, Work Satisfaction",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vdHAtb3JpZ2luYWwuanBn.webp","TP","Follow","3.8","(42.2k)","BPO | Mumbai +284 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/tp-reviews","42.2k","Reviews","https://www.ambitionbox.com/salaries/tp-salaries","1L","Salaries","https://www.ambitionbox.com/interviews/tp-interview-questions","2.4k","Interviews","https://www.ambitionbox.com/jobs/tp-jobs-cmp","1.4k","Jobs","https://www.ambitionbox.com/benefits/tp-benefits","2.1k","Benefits","https://www.ambitionbox.com/photos/tp-photos","43","Photos","","","","https://static.ambitionbox.com/static/company-overview/premium-employer.svg"
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vYXhpcy1iYW5rLW9yaWdpbmFsLmpwZw.webp","Axis Bank","Follow","3.6","(36.4k)","Banking | Mumbai +1582 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Work Satisfaction, Company Culture","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/axis-bank-reviews","36.4k","Reviews","https://www.ambitionbox.com/salaries/axis-bank-salaries","1L","Salaries","https://www.ambitionbox.com/interviews/axis-bank-interview-questions","2.1k","Interviews","https://www.ambitionbox.com/jobs/axis-bank-jobs-cmp","282","Jobs","https://www.ambitionbox.com/benefits/axis-bank-benefits","2.3k","Benefits","https://www.ambitionbox.com/photos/axis-bank-photos","152","Photos","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vamlvLW9yaWdpbmFsLmpwZw.webp","Jio","Follow","4.4","(35.4k)","Telecom | Mumbai +2000 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","","Job Security, Work Life Balance, Skill Development","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/jio-reviews","35.4k","Reviews","https://www.ambitionbox.com/salaries/jio-salaries","61.2k","Salaries","https://www.ambitionbox.com/interviews/jio-interview-questions","4.6k","Interviews","https://www.ambitionbox.com/jobs/jio-jobs-cmp","--","Jobs","https://www.ambitionbox.com/benefits/jio-benefits","2.7k","Benefits","https://www.ambitionbox.com/photos/jio-photos","99","Photos","Highly Rated For","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vY29uY2VudHJpeC1jb3Jwb3JhdGlvbi1vcmlnaW5hbC5qcGc.webp","Concentrix Corporation","Follow","3.5","(35.1k)","BPO | Bengaluru +209 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Job Security","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/concentrix-corporation-reviews","35.1k","Reviews","https://www.ambitionbox.com/salaries/concentrix-corporation-salaries","1.3L","Salaries","https://www.ambitionbox.com/interviews/concentrix-corporation-interview-questions","2.1k","Interviews","https://www.ambitionbox.com/jobs/concentrix-corporation-jobs-cmp","71","Jobs","https://www.ambitionbox.com/benefits/concentrix-corporation-benefits","3.3k","Benefits","https://www.ambitionbox.com/photos/concentrix-corporation-photos","75","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions, Salary, Skill Development",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vYW1hem9uLW9yaWdpbmFsLmpwZw.webp","Amazon","Follow","3.9","(34.4k)","Internet | Bengaluru +557 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Company Culture, Work Life Balance, Salary","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/amazon-reviews","34.4k","Reviews","https://www.ambitionbox.com/salaries/amazon-salaries","1.6L","Salaries","https://www.ambitionbox.com/interviews/amazon-interview-questions","6.2k","Interviews","https://www.ambitionbox.com/jobs/amazon-jobs-cmp","60","Jobs","https://www.ambitionbox.com/benefits/amazon-benefits","3.6k","Benefits","https://www.ambitionbox.com/photos/amazon-photos","107","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vcmVsaWFuY2UtcmV0YWlsLW9yaWdpbmFsLmpwZw.webp","Reliance Retail","Follow","3.9","(29.5k)","Retail | Mumbai +1217 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Job Security, Work Life Balance, Skill Development","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/reliance-retail-reviews","29.5k","Reviews","https://www.ambitionbox.com/salaries/reliance-retail-salaries","76.3k","Salaries","https://www.ambitionbox.com/interviews/reliance-retail-interview-questions","2.1k","Interviews","https://www.ambitionbox.com/jobs/reliance-retail-jobs-cmp","68","Jobs","https://www.ambitionbox.com/benefits/reliance-retail-benefits","2k","Benefits","https://www.ambitionbox.com/photos/reliance-retail-photos","168","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions","https://static.ambitionbox.com/static/company-overview/premium-employer.svg"
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vaWVuZXJnaXplci1vcmlnaW5hbC5qcGc.webp","iEnergizer","Follow","4.5","(28.5k)","BPO | Noida +57 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","","Salary, Company Culture, Work Life Balance","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/ienergizer-reviews","28.5k","Reviews","https://www.ambitionbox.com/salaries/ienergizer-salaries","25.5k","Salaries","https://www.ambitionbox.com/interviews/ienergizer-interview-questions","1.8k","Interviews","https://www.ambitionbox.com/jobs/ienergizer-jobs-cmp","79","Jobs","https://www.ambitionbox.com/benefits/ienergizer-benefits","1k","Benefits","https://www.ambitionbox.com/photos/ienergizer-photos","33","Photos","Highly Rated For","","","https://static.ambitionbox.com/static/company-overview/premium-employer.svg"
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vbHRtLWxpbWl0ZWQtb3JpZ2luYWwuanBn.webp","LTM Limited","Follow","3.6","(28.4k)","IT Services & Consulting | Bengaluru +160 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Critically Rated For","Promotions, Salary, Work Satisfaction","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/ltm-limited-reviews","28.4k","Reviews","https://www.ambitionbox.com/salaries/ltm-limited-salaries","2L","Salaries","https://www.ambitionbox.com/interviews/ltm-limited-interview-questions","3.5k","Interviews","https://www.ambitionbox.com/jobs/ltm-limited-jobs-cmp","630","Jobs","https://www.ambitionbox.com/benefits/ltm-limited-benefits","947","Benefits","https://www.ambitionbox.com/photos/ltm-limited-photos","34","Photos","","","",""
"https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/aHR0cHM6Ly9tZWRpYS5uYXVrcmkuY29tL21lZGlhL2FiY29tcGxvZ28vaGRiLWZpbmFuY2lhbC1zZXJ2aWNlcy1vcmlnaW5hbC5qcGc.webp","HDB Financial Services","Follow","3.9","(28k)","NBFC | Mumbai +1147 other locations","https://static.ambitionbox.com/static/companyListing/ThumbsUp.svg","Critically Rated For","Work Life Balance, Skill Development","To view salary insights","Select designation","https://www.ambitionbox.com/reviews/hdb-financial-services-reviews","28k","Reviews","https://www.ambitionbox.com/salaries/hdb-financial-services-salaries","48.7k","Salaries","https://www.ambitionbox.com/interviews/hdb-financial-services-interview-questions","1.2k","Interviews","https://www.ambitionbox.com/jobs/hdb-financial-services-jobs-cmp","14","Jobs","https://www.ambitionbox.com/benefits/hdb-financial-services-benefits","1.5k","Benefits","https://www.ambitionbox.com/photos/hdb-financial-services-photos","84","Photos","Highly Rated For","https://static.ambitionbox.com/static/companyListing/ThumbsDown.svg","Promotions, Salary",""
